.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,#,#,#,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,S,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,#,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,G,G,G,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,G,G,.,G,.,.,.,.,.,.,.,.,Y,Y,.,Y,.
.,.,.,.,.,.,.,.,.,#,.,.,Y,.,Y,Y,Y,.,Y,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,G,G,G,.,.,.,.,.,.,.,.,.,Y,Y,Y,Y,Y
.,.,.,.,.,.,.,.,.,#,.,.,.,Y,Y,Y,Y,Y,.,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,G,.,G,G,.,.,.,.,.,.,.,.,Y,Y,Y,Y,Y
.,.,.,.,.,.,.,.,.,.,.,Y,Y,Y,Y,Y,Y,Y,Y,Y,.,.,.,.,.,.,.,.,G,G,G,G,G,G,G,G,.,.,.,.,.,.,.,.,.,Y,Y,Y,Y,.
.,.,.,.,.,.,.,.,.,.,.,Y,Y,Y,.,Y,Y,Y,Y,Y,.,.,.,.,.,.,.,G,G,.,.,G,.,.,G,G,.,.,.,.,.,.,.,.,.,Y,Y,Y,Y,Y
.,.,.,.,.,.,.,.,.,.,.,Y,.,.,Y,Y,Y,Y,Y,Y,.,.,.,.,.,.,.,G,G,G,G,G,.,G,G,.,.,.,.,.,.,.,.,.,.,Y,Y,.,#,Y
