.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,B,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,B,.,.,B,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,B,B,B,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,B,B,B,B,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,B,.,B,B,B,B,B,B,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,B,B,B,.,B,B,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,B,B,B,B,B,.,B,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,.,.,Y
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,B,B,B,B,B,B,B,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,.,Y,Y
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,B,B,B,.,B,B,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,Y,.,Y
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,B,B,.,B,.,B,B,B,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,Y,Y,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,B,B,B,.,.,B,B,B,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,.,Y,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,B,.,B,B,B,B,B,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,Y,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,Y,Y,Y
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,Y
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,Y,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,Y,Y,Y,Y,Y,Y,Y,Y,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,#,#,#,.,.,.,.,.,#,Y,Y,.,Y,Y,Y,.,Y,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,Y,Y,Y,Y,Y,Y,Y,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,Y,Y,Y,.,.,.,Y,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,Y,.,Y,Y,Y,.,Y,.,.,.,.,.,.,.,.,.,#,#,.,.,.,.,.,.,B,.,B,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,G,G,#,#,#,#,#,G,G,G,G,G,G,G,.,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,B,B,B,B,B,B
.,.,.,.,.,.,.,.,.,.,.,.,.,G,.,G,G,G,.,G,G,.,G,G,G,.,Y,Y,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,B,.,B,B,.
.,.,.,.,.,.,.,.,.,.,.,.,.,G,G,G,G,G,.,.,Y,G,G,Y,G,G,G,.,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,B,.,B,B,B
.,.,.,.,.,.,.,.,.,.,.,.,.,.,G,G,G,G,.,.,G,G,G,G,G,Y,G,Y,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,B,B,B,B,B,B
.,.,.,.,.,.,.,.,.,.,.,.,.,G,G,.,G,G,.,.,G,G,.,G,.,G,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,B,.,#,B,B,B
.,.,.,.,.,.,.,.,.,.,.,.,.,G,G,G,G,G,.,G,G,G,.,.,.,#,#,#,#,.,.,.,.,.,.,.,.,.,.,.,Y,.,Y,.,B,B,#,B,.,.
.,.,.,.,.,.,G,G,G,G,.,G,.,G,.,G,G,G,G,G,G,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,.,Y,B,.,#,B,B,B
.,.,.,.,.,.,.,G,.,G,G,G,G,G,G,G,G,G,G,G,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,#,#,Y,.,Y,B,.,B,B,B,.
.,.,.,.,.,.,G,.,G,G,.,G,.,G,.,G,G,G,G,G,G,G,.,G,G,G,.,.,G,G,.,.,.,.,.,.,.,.,.,.,.,Y,.,Y,B,B,.,B,B,.
.,.,.,.,.,.,.,.,G,G,B,G,G,G,B,.,.,.,.,.,.,G,.,G,G,G,G,.,G,.,.,.,.,.,.,.,.,.,.,.,.,Y,Y,Y,.,.,.,.,.,.
.,.,.,.,.,.,.,G,G,B,G,G,G,G,.,.,.,.,.,.,.,G,G,G,G,.,G,G,.,G,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,G,G,B,G,G,B,G,.,B,.,.,.,.,.,G,G,G,.,G,.,G,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,G,.,G,G,G,G,.,G,B,.,.,.,.,.,.,G,.,.,.,G,G,G,.,G,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,G,.,.,G,G,G,G,G,B,.,.,.,.,.,.,.,G,.,G,G,G,.,G,G,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,B,B,B,B,B,.,B,.,.,.,.,.,.,G,G,.,G,G,G,G,G,.,.,.,.,.,.,.,.,.,Y,Y,.,Y,Y,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,B,.,B,B,B,.,.,.,.,.,G,G,.,G,G,G,G,G,.,.,.,.,.,.,.,.,.,.,.,Y,Y,Y,Y,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,G,G,G,G,G,.,G,.,G,.,.,.,.,.,.,.,.,.,.,.,Y,Y,Y,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,.,Y,Y,Y,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,.,.,.
.,.,.,.,.,S,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,Y,.,.,.,Y,Y,Y,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
